sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Paasio,Heli,,Varsinais-Suomen vaalipiiri,24.11.1972,ent
Paatero,Sirpa,sd,Kaakkois-Suomen vaalipiiri,09.09.1964,nyk
Packalén,Tom,ps,Helsingin vaalipiiri,05.10.1969,nyk
Pakkanen,Markku,kesk,Kaakkois-Suomen vaalipiiri,31.01.1960,nyk
Palm,Sari,,Kymen vaalipiiri,17.05.1966,ent
Palola,Mikael,,Keski-Suomen vaalipiiri,13.01.1976,ent
Paloniemi,Aila,kesk,Keski-Suomen vaalipiiri,28.01.1956,nyk
Parviainen,Olli-Poika,vihr,Pirkanmaan vaalipiiri,20.09.1980,nyk
Parviainen,Ulla,kesk,Oulun vaalipiiri,11.04.1962,nyk
Pekkarinen,Mauri,kesk,Keski-Suomen vaalipiiri,06.10.1947,nyk
Pekonen,Aino-Kaisa,vas,Hämeen vaalipiiri,24.01.1979,nyk
Pelkonen,Jaana,kok,Helsingin vaalipiiri,27.01.1977,nyk
Peltokorpi,Terhi,,Helsingin vaalipiiri,25.06.1975,ent
Peltonen,Tuula,,Keski-Suomen vaalipiiri,04.09.1962,ent
Pentti,Klaus,,Pirkanmaan vaalipiiri,17.03.1943,ent
Perkiö,Sanna,,Helsingin vaalipiiri,28.03.1962,ent
Pihlajaniemi,Petri,,Vaasan vaalipiiri,23.08.1968,ent
Piirainen,Raimo,,Oulun vaalipiiri,22.12.1952,ent
Pirttilahti,Arto,kesk,Pirkanmaan vaalipiiri,04.04.1963,nyk
Puhjo,Veijo,,Satakunnan vaalipiiri,26.06.1948,ent
Pulliainen,Erkki,,Oulun vaalipiiri,23.06.1938,ent
Puska,Pekka,kesk,Helsingin vaalipiiri,18.12.1945,nyk
Puumala,Tuomo,kesk,Vaasan vaalipiiri,03.04.1982,nyk
Pylväs,Juha,kesk,Oulun vaalipiiri,24.03.1971,nyk
Raassina,Sari,kok,Savo-Karjalan vaalipiiri,19.04.1963,nyk
Raatikainen,Mika,ps,Helsingin vaalipiiri,07.11.1961,nyk
Rajala,Lyly,,Oulun vaalipiiri,21.04.1951,ent
Rajamäki,Kari,,Kuopion vaalipiiri,15.10.1948,ent
Rantakangas,Antti,kesk,Oulun vaalipiiri,28.02.1964,nyk
Rauhala,Leena,,Pirkanmaan vaalipiiri,28.02.1942,ent
Ravi,Pekka,,Pohjois-Karjalan vaalipiiri,26.11.1949,ent
Razmyar,Nasima,sd,Helsingin vaalipiiri,13.09.1984,nyk
Rehn,Olli,,Helsingin vaalipiiri,31.03.1962,ent
Rehn-Kivi,Veronica,r,Uudenmaan vaalipiiri,10.02.1956,nyk
Rehula,Juha,kesk,Hämeen vaalipiiri,03.06.1963,nyk
Reijonen,Eero,,Pohjois-Karjalan vaalipiiri,10.09.1947,ent
Rinne,Antti,sd,Uudenmaan vaalipiiri,03.11.1962,nyk
Risikko,Paula,kok,Vaasan vaalipiiri,04.06.1960,nyk
Ronkainen,Jari,ps,Hämeen vaalipiiri,28.05.1972,nyk
Rossi,Markku,kesk,Savo-Karjalan vaalipiiri,05.03.1956,nyk
Rundgren,Simo,,Lapin vaalipiiri,28.06.1953,ent
Ruoho,Veera,ps,Uudenmaan vaalipiiri,04.08.1969,nyk
Ruohonen-Lerner,Pirkko,ps,Uudenmaan vaalipiiri,06.02.1957,kesk
Rydman,Wille,kok,Helsingin vaalipiiri,02.01.1986,nyk
Räsänen,Joona,sd,Uudenmaan vaalipiiri,24.02.1987,nyk
Räsänen,Päivi,kd,Hämeen vaalipiiri,19.12.1959,nyk
Rönni,Tero,,Pirkanmaan vaalipiiri,03.03.1954,ent
